date,cityid,merchants_all,merchants_ss40,merchants_ss60,merchants_ss65,merchants_ss70
2020-1-14,Omaha,-0.0077499998999999995,-0.005650000200000001,-0.0255,-0.0034099999,-0.016799999
2020-1-14,Oakland,0.0096199997,0.0062899999,0.0146,0.013000000000000001,0.0060000001
2020-1-14,Minneapolis,-0.0187,-0.019300001,-0.052999999000000006,-0.0145,-0.0221
2020-1-14,Tampa,0.00587,0.0174,-0.025900001000000002,0.0123,-0.0027699999
2020-1-14,New Orleans,-0.00044,0.0056599998,0.0427,0.0098700002,-0.0255
2020-1-14,Wichita,0.0016899998999999998,-0.0156,-0.032699998,-0.019200001,0.031599998
2020-1-14,Cleveland,-0.0142,-0.030300001,0.0127,-0.020099999,-0.0026700001
2020-1-14,Bakersfield,-0.0099200001,-0.0136,0.12899999,-0.0062899999,-0.015900001
2020-1-14,Honolulu,-0.0045099999,-0.0337,0.04309999900000001,-0.0128,0.017100001
2020-1-14,Boise,9.159999900000001e-05,0.0151,0.00135,0.0007319999900000002,-0.00315
2020-1-14,Salt Lake City,0.00296,0.0125,0.0381,0.00202,-0.0125
2020-1-14,Virginia Beach,-0.0133,-0.00251,-0.081500001,-0.00911,0.0155
2020-1-14,Colorado Springs,-0.00502,-0.017200001,0.044300001,0.0059400001000000004,-0.013000000000000001
2020-1-14,Tulsa,-0.0117,-0.017100001,-0.040199999,-0.020300001,0.0088499999
2020-1-15,Los Angeles,-0.005379999999999999,-0.009879999799999999,0.0054100002,-0.0014299998999999998,-0.0055399998
2020-1-15,New York City,-0.0054600001,-0.00257,0.0023399999,-0.025599999,-0.0045599998
2020-1-15,Chicago,-0.031399999,-0.0231,-0.070699997,-0.047499999,-0.0189
2020-1-15,Houston,-0.023600001000000002,-0.032900002000000005,-0.0254,-0.0089400001,-0.0112
2020-1-15,Phoenix,0.0033,0.00361,0.00105,0.0014900001,0.00131
2020-1-15,San Diego,0.0073699998,0.0122,0.0022499999,0.0069400002,0.0011099999999999999
2020-1-15,Dallas,-0.0030700001000000003,-0.0027199999999999998,0.0038999999,-0.00158,-0.0052700001
2020-1-15,Las Vegas,-0.0083699999,-0.0048000002000000005,-0.007209999999999999,-0.00321,-0.0039700000000000004
2020-1-15,Seattle,-0.0363,-0.035500001,-0.0152,-0.054699998,-0.0137
2020-1-15,Fort Worth,0.00076700002,-0.0065899999,0.0122,0.00019599999,0.00285
2020-1-15,San Antonio,-0.0126,-0.0188,-0.031500001,0.0062600002,-0.0059000002
2020-1-15,San Jose,0.0058900001,0.017999999,-0.0046999999,-0.00343,0.00186
2020-1-15,Detroit,-0.020500001,0.0039400002,-0.107,-0.04769999900000001,-0.0074
2020-1-15,Philadelphia,-0.0107,-0.0089600002,0.0744,-0.0207,-0.0217
2020-1-15,Columbus,-0.009449999799999999,-0.000197,-0.0058300002,-0.0029899999,-0.005419999799999999
2020-1-15,Austin,-0.0111,-0.0242,-0.0074499998999999996,-0.0151,-0.0049200002
2020-1-15,Charlotte,-0.00148,0.00101,-0.0156,-0.037300002,0.0055200001
2020-1-15,Indianapolis,-0.00599,0.0022400001000000003,-0.0537,-0.0126,-0.00428
2020-1-15,Jacksonville,-0.00825,-0.0061900001,-0.0162,-0.00164,-0.036699999
2020-1-15,Memphis,-0.0052399999,-0.0021100000000000003,-0.11199999999999999,-0.00954,-0.00021300001000000001
2020-1-15,San Francisco,0.0068100002,0.0075099999,0.052099999,-0.0103,0.0015
2020-1-15,El Paso,-0.0141,-0.0147,-0.0233,-0.0231,0.017999999
2020-1-15,Baltimore,0.0068399999,0.028899999,0.0218,-0.0254,-0.0167
2020-1-15,Portland,-0.0044,-0.0012699999999999999,-0.0138,-0.027000001000000003,0.021199999
